Model,Source,Guidance,Informativeness,Relevance,Safety,Empathy,Helpfulness,Understanding,Average,Rank
GPT-4o,Closed,4.58,4.72,4.98,4.97,4.76,4.70,4.99,4.81,1
Gemini-2.0-Flash,Closed,4.53,4.78,4.98,4.98,4.38,4.50,4.98,4.73,2
GPT-4o-Mini,Closed,4.31,4.46,4.96,4.94,4.42,4.48,4.95,4.65,3
Qwen2.5-7B-Instruct,Open,4.23,4.24,4.89,4.91,4.43,4.41,4.87,4.57,4
LLaMA-3.1-8B-Instruct,Open,3.96,4.32,4.93,4.92,4.44,4.32,4.90,4.54,5
Claude-3.5-Haiku,Closed,3.91,4.11,4.85,4.84,4.40,4.35,4.83,4.47,6
Qwen-3-4B,Open,3.88,4.02,4.79,4.80,4.34,4.30,4.82,4.42,7
DeepSeek-LLaMA-8B,Open,3.72,3.95,4.76,4.77,4.28,4.19,4.80,4.35,8
DeepSeek-Qwen-7B,Open,3.65,3.90,4.74,4.76,4.22,4.17,4.78,4.32,9
Human Response,Human,3.05,3.07,3.86,3.89,3.79,3.21,3.77,3.52,10
