Model,Source,Claude-3.7-Sonnet,GPT-4o,O4-Mini,Gemini-2.5-Flash,Average,Rank
Gemini-2.0-Flash,Closed,4.87,4.96,4.89,4.94,4.92,1
GPT-4o,Closed,4.81,4.97,4.88,4.90,4.89,2
GPT-4o-Mini,Closed,4.74,4.95,4.84,4.88,4.85,3
Claude-3.5-Haiku,Closed,4.78,4.87,4.70,4.85,4.80,4
LLaMA-3.1-8B-Instruct,Open,4.71,4.84,4.63,4.77,4.74,5
DeepSeek-LLaMA-8B,Open,4.55,4.82,4.64,4.74,4.69,6
DeepSeek-Qwen-7B,Open,4.03,4.62,4.39,4.44,4.37,7
Qwen2.5-7B-Instruct,Open,4.26,4.46,4.35,4.37,4.36,8
Qwen-3-4B,Open,3.78,4.19,4.04,4.20,4.05,9
Human Response,Human,3.90,4.24,3.89,4.16,4.05,9
